numero de sequencia,tempo inicial,tempo final,tamanho
0,1742170865494716800,1742170865497195400,1
1,1742170865497195400,1742170865497195400,1
2,1742170865498932300,1742170865498932300,4
3,1742170865500455600,1742170865500828000,8
4,1742170865501832900,1742170865501832900,8
5,1742170865503568400,1742170865503568400,8
6,1742170865505260400,1742170865507445400,8
7,1742170865506677000,1742170865507445400,8
8,1742170865509199000,1742170865510210200,8
9,1742170865511206900,1742170865511206900,8
10,1742170865512942700,1742170865513273500,8
11,1742170865514282900,1742170865515294100,8
12,1742170865516288900,1742170865517805900,8
13,1742170865517805900,1742170865517805900,8
14,1742170865519335800,1742170865521306200,8
15,1742170865520950600,1742170865521306200,8
16,1742170865522315200,1742170865522315200,8
17,1742170865524117800,1742170865524117800,8
18,1742170865525905600,1742170865526916300,8
19,1742170865527915000,1742170865527915000,8
20,1742170865529471200,1742170865530991900,8
21,1742170865530991900,1742170865532082800,8
22,1742170865532590600,1742170865532590600,8
23,1742170865534375600,1742170865535386600,8
24,1742170865535898100,1742170865536911400,8
25,1742170865538574700,1742170865539116800,8
26,1742170865540696700,1742170865540696700,8
27,1742170865543507400,1742170865572257800,8
28,1742170865549173700,1742170865574399700,8
29,1742170865563776600,1742170865576352000,8
30,1742170865572257800,1742170865578949300,8
31,1742170865574029900,1742170865579801900,8
32,1742170865575409100,1742170865594243900,8
33,1742170865577934800,1742170865600809600,8
34,1742170865579477300,1742170865602354300,8
35,1742170865583820400,1742170865603850600,8
36,1742170865587463100,1742170865605489500,8
37,1742170865589991600,1742170865606498800,8
38,1742170865591508700,1742170865608242300,8
39,1742170865592898400,1742170865609253500,8
40,1742170865594243900,1742170865609760700,8
41,1742170865599895400,1742170865609760700,8
42,1742170865601818500,1742170865622497900,8
43,1742170865603365100,1742170865624374700,8
44,1742170865604871000,1742170865626053900,8
45,1742170865606498800,1742170865627384700,8
46,1742170865608242300,1742170865628394800,8
47,1742170865609760700,1742170865630344400,8
48,1742170865611547700,1742170865631355100,8
49,1742170865617265600,1742170865631355100,8
50,1742170865621834900,1742170865633609100,8
51,1742170865623511000,1742170865634615700,8
52,1742170865625387200,1742170865639048400,8
53,1742170865627063600,1742170865640474700,8
54,1742170865628394800,1742170865641483600,8
55,1742170865629917200,1742170865641483600,8
56,1742170865631355100,1742170865642494900,8
57,1742170865633128900,1742170865644001200,8
58,1742170865634615700,1742170865645007700,8
59,1742170865636135100,1742170865646531400,8
60,1742170865638018700,1742170865648052000,8
61,1742170865639564800,1742170865649372600,8
62,1742170865641483600,1742170865650380200,8
63,1742170865643494000,1742170865650380200,8
64,1742170865645007700,1742170865652654400,8
65,1742170865647040300,1742170865654420400,8
66,1742170865649057700,1742170865657342200,8
67,1742170865650380200,1742170865657342200,8
68,1742170865652163200,1742170865657342200,8
69,1742170865653669700,1742170865659452800,8
70,1742170865655432000,1742170865659452800,8
71,1742170865657342200,1742170865661191300,8
72,1742170865659452800,1742170865661191300,8
73,1742170865661191300,1742170865662945000,8
74,1742170865662945000,1742170865662945000,8
75,1742170865664696800,1742170865664696800,8
76,1742170865666223900,1742170865667727800,8
77,1742170865667727800,1742170865669839200,8
78,1742170865669839200,1742170865673232700,8
79,1742170865672496600,1742170865675273600,8
80,1742170865674252800,1742170865677877000,8
81,1742170865676863200,1742170865679408500,8
82,1742170865678885000,1742170865679408500,8
83,1742170865681049400,1742170865681351900,8
84,1742170865682361700,1742170865682684500,8
85,1742170865683690600,1742170865687019700,8
86,1742170865685244800,1742170865688036000,8
87,1742170865688036000,1742170865690849600,8
88,1742170865690442500,1742170865692226300,8
89,1742170865691855200,1742170865692226300,8
90,1742170865693238300,1742170865693669400,8
91,1742170865694677300,1742170865694677300,8
92,1742170865696204400,1742170865696767900,8
93,1742170865697773800,1742170865697773800,8
94,1742170865699293300,1742170865699669400,8
95,1742170865700678600,1742170865701287100,8
96,1742170865702298500,1742170865704379000,8
97,1742170865703785300,1742170865706709500,8
98,1742170865706407600,1742170865706709500,8
99,1742170865707718200,1742170865707718200,8
100,1742170865709237700,1742170865709237700,8
101,1742170865710943800,1742170865712046900,8
102,1742170865712564200,1742170865713644200,8
103,1742170865714163900,1742170865715251000,8
104,1742170865715774200,1742170865716869400,8
105,1742170865717391500,1742170865718479400,8
106,1742170865719001500,1742170865720661600,8
107,1742170865720661600,1742170865722926500,8
108,1742170865722369400,1742170865723473300,8
109,1742170865723991600,1742170865724517900,8
110,1742170865725572800,1742170865726102800,8
111,1742170865727167400,1742170865727693900,8
112,1742170865728726400,1742170865729244000,8
113,1742170865730282300,1742170865730805100,8
114,1742170865731842200,1742170865732369100,8
115,1742170865733412600,1742170865733990900,8
116,1742170865735039600,1742170865737293500,8
117,1742170865736655700,1742170865737871300,8
118,1742170865738408400,1742170865739532500,8
119,1742170865740079900,1742170865740622900,8
120,1742170865741664300,1742170865742193000,8
121,1742170865743252300,1742170865743767800,8
122,1742170865744819300,1742170865745348100,8
123,1742170865746464200,1742170865746998700,8
124,1742170865748038200,1742170865748576900,8
125,1742170865749613100,1742170865750151700,8
126,1742170865751216600,1742170865752292800,8
127,1742170865753698900,1742170865756201400,8
128,1742170865755425300,1742170865759196500,8
129,1742170865758669500,1742170865761244100,8
130,1742170865760206900,1742170865763282900,8
131,1742170865762257700,1742170865764270400,8
132,1742170865763812400,1742170865765279100,8
133,1742170865765279100,1742170865767132600,8
134,1742170865766796400,1742170865767132600,8
135,1742170865768149600,1742170865769673700,8
136,1742170865770686800,1742170865772976100,8
137,1742170865772314000,1742170865773525400,8
138,1742170865774494500,1742170865775041900,8
139,1742170865776086800,1742170865776616300,8
140,1742170865777656800,1742170865778187000,8
141,1742170865779225200,1742170865779749500,8
142,1742170865780797900,1742170865781329400,8
143,1742170865782382700,1742170865782920800,8
144,1742170865783965000,1742170865785030800,8
145,1742170865785552500,1742170865787920700,8
146,1742170865787330300,1742170865788980900,8
147,1742170865790091000,1742170865790632500,8
148,1742170865791678800,1742170865792215900,8
149,1742170865793262700,1742170865794356400,8
150,1742170865794870400,1742170865795406600,8
151,1742170865796457300,1742170865796989400,8
152,1742170865798041300,1742170865798572700,8
153,1742170865799598900,1742170865800123700,8
154,1742170865801172000,1742170865803982000,8
155,1742170865805676000,1742170865808481500,8
